pixel_0,pixel_1,pixel_2,pixel_3,pixel_4,pixel_5,pixel_6,pixel_7,pixel_8,pixel_9,pixel_10,pixel_11,pixel_12,pixel_13,pixel_14,pixel_15,pixel_16,pixel_17,pixel_18,pixel_19,target
0.6280992,0.6652893,0.6859504,0.6942149,0.71900827,0.73140496,0.75206614,0.76859504,0.7768595,0.78099173,0.78512394,0.7933884,0.80991733,0.822314,0.8264463,0.8264463,0.8305785,0.8305785,0.8347107,0.8347107,2
0.6322314,0.6570248,0.677686,0.70247936,0.72727275,0.74793386,0.7644628,0.7644628,0.77272725,0.78099173,0.7892562,0.8016529,0.8140496,0.80991733,0.8057851,0.8140496,0.80991733,0.8181818,0.822314,0.822314,2
0.1983471,0.17768595,0.18181819,0.18181819,0.19008264,0.28099173,0.5123967,0.661157,0.7355372,0.7644628,0.77272725,0.7892562,0.7933884,0.7892562,0.7933884,0.79752064,0.8016529,0.8057851,0.8181818,0.8264463,2
0.1570248,0.1570248,0.15289256,0.15289256,0.1570248,0.18595041,0.15289256,0.3553719,0.61157024,0.70247936,0.7355372,0.75619835,0.76859504,0.7644628,0.75619835,0.76033056,0.76859504,0.76859504,0.78099173,0.7892562,2
0.19008264,0.25619835,0.3553719,0.42561984,0.49586776,0.5165289,0.57438016,0.6280992,0.6652893,0.71900827,0.7355372,0.75206614,0.75619835,0.76859504,0.7768595,0.78512394,0.78512394,0.79752064,0.8057851,0.822314,2
0.1694215,0.18181819,0.20661157,0.32231405,0.45041323,0.54545456,0.60330576,0.6859504,0.6983471,0.7107438,0.73140496,0.75206614,0.75619835,0.76033056,0.7644628,0.78099173,0.78099173,0.79752064,0.8057851,0.8140496,2
0.17355372,0.16115703,0.16115703,0.2520661,0.36363637,0.45454547,0.5247934,0.61157024,0.6652893,0.6859504,0.6983471,0.7231405,0.73966944,0.75206614,0.7644628,0.76859504,0.78099173,0.7933884,0.8016529,0.80991733,2
0.5206612,0.5371901,0.553719,0.61157024,0.6363636,0.677686,0.7107438,0.71900827,0.7355372,0.73966944,0.7644628,0.78099173,0.77272725,0.7768595,0.78099173,0.7933884,0.8016529,0.8181818,0.8181818,0.8305785,2
0.5413223,0.553719,0.58264464,0.6198347,0.6322314,0.6694215,0.70247936,0.72727275,0.7355372,0.74793386,0.7644628,0.77272725,0.78512394,0.7892562,0.7933884,0.7933884,0.80991733,0.80991733,0.8305785,0.8264463,2
0.1694215,0.2644628,0.21900827,0.28099173,0.4214876,0.5495868,0.6694215,0.70247936,0.7066116,0.73140496,0.74793386,0.76859504,0.78512394,0.7892562,0.7933884,0.79752064,0.8057851,0.80991733,0.8140496,0.8264463,3
0.56198347,0.6652893,0.6983471,0.6983471,0.73140496,0.7231405,0.72727275,0.75206614,0.76033056,0.77272725,0.7892562,0.79752064,0.8016529,0.8057851,0.8140496,0.8181818,0.822314,0.822314,0.8305785,0.838843,3
0.2892562,0.1570248,0.14876033,0.19008264,0.1694215,0.19421488,0.40495867,0.607438,0.6694215,0.677686,0.72727275,0.74380165,0.77272725,0.76859504,0.78512394,0.79752064,0.7933884,0.8016529,0.8140496,0.822314,3
0.5082645,0.60330576,0.6198347,0.6280992,0.6570248,0.6652893,0.69008267,0.72727275,0.74380165,0.76859504,0.77272725,0.78512394,0.78099173,0.7892562,0.79752064,0.8016529,0.7892562,0.8057851,0.822314,0.822314,3
0.6694215,0.6652893,0.6942149,0.70247936,0.7107438,0.73966944,0.76033056,0.77272725,0.78512394,0.7933884,0.79752064,0.79752064,0.8057851,0.8181818,0.8140496,0.8181818,0.8140496,0.8264463,0.8347107,0.8264463,3
0.38429752,0.38429752,0.34710744,0.21900827,0.16528925,0.11157025,0.18595041,0.4338843,0.53305787,0.58677685,0.6652893,0.70247936,0.7107438,0.72727275,0.7355372,0.74380165,0.74793386,0.77272725,0.77272725,0.78512394,3
0.18595041,0.3429752,0.5123967,0.57024795,0.6280992,0.61570245,0.6528926,0.661157,0.6859504,0.72727275,0.74380165,0.7644628,0.76859504,0.7768595,0.7892562,0.78512394,0.7933884,0.7933884,0.7892562,0.8140496,3
0.10330579,0.21900827,0.17768595,0.21900827,0.39256197,0.57438016,0.6694215,0.6818182,0.7107438,0.73140496,0.76033056,0.77272725,0.77272725,0.7933884,0.79752064,0.8016529,0.8016529,0.80991733,0.822314,0.8264463,3
0.7231405,0.7231405,0.72727275,0.73140496,0.7355372,0.74380165,0.7644628,0.76859504,0.7768595,0.7768595,0.7892562,0.79752064,0.7933884,0.79752064,0.8057851,0.8057851,0.78099173,0.78512394,0.76859504,0.7644628,3
0.77272725,0.7644628,0.75206614,0.7644628,0.78512394,0.7933884,0.79752064,0.80991733,0.8181818,0.8181818,0.8305785,0.8305785,0.8347107,0.838843,0.8347107,0.8347107,0.838843,0.8305785,0.8264463,0.8347107,3
0.45454547,0.42975205,0.5371901,0.61157024,0.6528926,0.70247936,0.72727275,0.7355372,0.7355372,0.7355372,0.74380165,0.75206614,0.76033056,0.7644628,0.77272725,0.7768595,0.78099173,0.77272725,0.77272725,0.76033056,4
0.677686,0.677686,0.6818182,0.7066116,0.73140496,0.73966944,0.75619835,0.7644628,0.76859504,0.76033056,0.7644628,0.76033056,0.7644628,0.7644628,0.76033056,0.76859504,0.77272725,0.77272725,0.76859504,0.76859504,4
0.661157,0.661157,0.6652893,0.6694215,0.70247936,0.72727275,0.74380165,0.75619835,0.76859504,0.76033056,0.75619835,0.75206614,0.75619835,0.76033056,0.76859504,0.77272725,0.78512394,0.7892562,0.7892562,0.7892562,4
0.42975205,0.45867768,0.5495868,0.62396693,0.6735537,0.71487606,0.7231405,0.7107438,0.71487606,0.71900827,0.73966944,0.75206614,0.76033056,0.7644628,0.77272725,0.77272725,0.76859504,0.7644628,0.76033056,0.76033056,4
0.5082645,0.5082645,0.5082645,0.5413223,0.58677685,0.61570245,0.61157024,0.62396693,0.6363636,0.6652893,0.677686,0.70247936,0.71900827,0.7231405,0.72727275,0.71900827,0.72727275,0.7231405,0.71900827,0.72727275,4
0.338843,0.40495867,0.5082645,0.5247934,0.5785124,0.62396693,0.6528926,0.6570248,0.6570248,0.6735537,0.6859504,0.70247936,0.71487606,0.7355372,0.73966944,0.74793386,0.73966944,0.72727275,0.7355372,0.73966944,4
0.5247934,0.49173555,0.5371901,0.6528926,0.6942149,0.6983471,0.6942149,0.71487606,0.72727275,0.74380165,0.75206614,0.77272725,0.7768595,0.78099173,0.77272725,0.76859504,0.76859504,0.7644628,0.7644628,0.77272725,4
0.5206612,0.5206612,0.53305787,0.5661157,0.6280992,0.6694215,0.6942149,0.6942149,0.6859504,0.6942149,0.69008267,0.6983471,0.71900827,0.7231405,0.72727275,0.73140496,0.74380165,0.74380165,0.74380165,0.7355372,4
0.5247934,0.5371901,0.5785124,0.6280992,0.6694215,0.69008267,0.6859504,0.6942149,0.6983471,0.6983471,0.72727275,0.7231405,0.73966944,0.74793386,0.76033056,0.76033056,0.74793386,0.74793386,0.75206614,0.76033056,4
0.3264463,0.46280992,0.553719,0.553719,0.553719,0.5413223,0.607438,0.6446281,0.677686,0.70247936,0.71900827,0.71900827,0.72727275,0.7355372,0.74793386,0.75619835,0.7768595,0.7892562,0.78512394,0.78512394,4
